                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6189,                 5.3854,                 4.3056,                0.00021,                0.06933,                0.00024,                  5e-05,                 3.3163,                 5.5254,                  4.153,              0.0004072,              0.0004072,              0.0004072
                      2,                 3.2784,                 4.7146,                 3.8497,                0.00027,                0.07242,                0.00029,                  8e-05,                 3.2818,                 5.1599,                 4.1556,             0.00076949,             0.00076949,             0.00076949
                      3,                 2.8005,                 4.2062,                 3.2689,                0.00115,                0.19032,                0.00311,                0.00125,                 2.8698,                 5.2663,                  3.764,              0.0010768,              0.0010768,              0.0010768
                      4,                 2.5898,                 3.6104,                 2.8974,                 0.3727,                0.08025,                0.07286,                0.03688,                 2.3767,                 25.719,                 3.1702,              0.0010025,              0.0010025,              0.0010025
                      5,                 2.2597,                  2.979,                 2.5013,                0.70138,                0.16667,                0.23163,                0.14054,                 1.8111,                 2.8346,                 2.1931,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.6606,                 2.6025,                 2.0812,                0.64808,                0.33247,                0.38693,                0.22751,                 1.6429,                 2.4083,                 2.0334,                0.00092,                0.00092,                0.00092
                      7,                 1.4882,                 2.1883,                 1.8881,                0.65576,                0.34547,                0.37077,                0.24957,                  1.339,                 2.7161,                 1.7491,              0.0008375,              0.0008375,              0.0008375
                      8,                 1.3301,                 1.8659,                 1.7458,                 0.9106,                0.34796,                0.44437,                0.30993,                 1.3117,                 1.7058,                 1.6735,               0.000755,               0.000755,               0.000755
                      9,                 1.2807,                 1.6464,                 1.6579,                0.78867,                0.48233,                0.54483,                0.37062,                 1.2447,                 1.5257,                 1.5668,              0.0006725,              0.0006725,              0.0006725
                     10,                  1.205,                 1.5091,                 1.6051,                0.78411,                 0.4516,                0.50365,                0.35225,                 1.1719,                 1.4177,                 1.5252,                0.00059,                0.00059,                0.00059
                     11,                 1.1406,                 1.3789,                 1.5263,                0.85634,                0.54973,                0.60407,                0.43942,                 1.1174,                 1.3014,                 1.4592,              0.0005075,              0.0005075,              0.0005075
                     12,                 1.0753,                 1.2802,                 1.4623,                0.88981,                0.59593,                0.61292,                0.43968,                 1.0459,                 1.1801,                 1.4279,               0.000425,               0.000425,               0.000425
                     13,                 1.0768,                  1.217,                 1.4381,                0.97347,                0.52222,                0.63515,                0.48494,                0.98497,                 1.0912,                 1.3642,              0.0003425,              0.0003425,              0.0003425
                     14,                 1.0126,                 1.1618,                 1.4031,                0.90904,                0.57382,                0.65499,                0.47049,                0.99832,                 1.0547,                 1.3643,                0.00026,                0.00026,                0.00026
                     15,                  1.012,                 1.0925,                 1.3933,                0.98811,                0.55837,                0.65604,                0.51734,                0.94683,                0.98739,                 1.3163,              0.0001775,              0.0001775,              0.0001775
